인증사회적기업 리스트('16년 6차) 2016.12.27.,,,,,,,,,,,,
,,,,,,,,,,,,
지역,인증번호,기관명,사업내용,"사회적목적
실현유형",사회서비스분야,대표자,대표전화번호,팩스,소재지,홈페이지,인증일자,인증회차
,,,,,,,,,,,,
서울,제2007-001호,(재)다솜이재단,"간병사업, 평생교육시설 운영, 기타 교육지원 서비스업, 정기간행물 및 신문발행업",혼합형,간병가사지원,안재웅,1644-6269,02-3142-0095,"서울특별시 마포구 동교로25길 (동교동, 유남빌딩3층)",http://www.dasomi.org/,10/29/07,2007년 1차
서울,제2007-002호,(재)아름다운가게,재활용품 수거 판매,기타형,환경,홍명희,02-2115-7215,02-730-0525, 서울특별시 성동구 천호대로 362(용답동),http://www.beautifulstore.org,10/29/07,2007년 1차
부산,제2007-003호,(사)안심생활,"중증장애인이동지원, 건강상담, 가사지원",혼합형,사회복지,김정순,051-517-1881,051-517-1883,부산광역시 금정구 구서2동 248-10 현대빌딩 4층,htttp://www.ansim.org,10/29/07,2007년 1차
전남,제2007-004호,사회적기업 청람,"가사간병지원, 차량이동, 생활지원 ",혼합형,간병가사지원,정장오,061-352-3275,061-353-6900,전라남도 영광군 영광읍 단주리 372-3,,10/29/07,2007년 1차
경기,제2007-005호,위캔센터,정신지체장애인 우리밀 쿠키생산,일자리제공형,기타,김영렬,031-969-3535,031-969-3656,경기도 고양시 덕양구 혜음로 276(벽제동),http://www.wecan.or.kr,10/29/07,2007년 1차
대전,제2007-006호,사)엠마오호스피스회,"간병, 재가도우미",혼합형,간병가사지원,김창석,"042-487-1119
042-824-5596",042-487-4119,대전광역시 유성구 궁동401-16 1층,,10/29/07,2007년 1차
경기,제2007-007호,세종장애아동후원회장애아동통합지원센터,장애아동통합지원센터,혼합형,사회복지,고윤정,031-457-5039,031-477-9835,"경기도 안양시 동안구 흥안대로 145번길 127 2층, 3층",www.sejongsupport.or.kr,10/29/07,2007년 1차
인천,제2007-011호,㈜다사랑간병서비스,"재가복지, 간병",혼합형,간병가사지원,김용한,032-891-5676,032-891-5677 ,"인천광역시 남구 경인로 334-17(주안동, 1,2층)",www.dasar.kr,10/29/07,2007년 1차
전북,제2007-012호,(사)사랑의손길새소망,장애아동 재가보육,사회서비스제공형,보육,황의성,063-852-1174,063-858-3148,전라북도 익산시 남중동 187-20번지,www.s-somang.or.kr,10/29/07,2007년 1차
강원,제2007-013호,원주의료복지 사회적협동조합,"의원, 한의원, 노인재가요양",혼합형,간병가사지원,최정환,"033-744-7571
033-744-7573",033-748-7571,"강원도 원주시 중앙로 83 (중앙동, 3층)",http://wjmedcoop.or.kr,10/29/07,2007년 1차
충북,제2007-016호,(주)미래이엔티,"재활용품 수거, 선별, 가공",기타형,환경,정남규,043-216-7021~2,043-216-7023,충청북도 청주시 청원구 오창읍 신평중신길 85,www.handemy.org,10/29/07,2007년 1차
충북,제2007-017호,사단법인 충북사회교육센터,"가사간병, 산모신생아도우미",사회서비스제공형,간병가사지원,김봉숙,043-275-6062,043-276-6077,충청북도 청주시 흥덕구 사직1동 560-30,,10/29/07,2007년 1차
경기,제2007-019호,열린사회,"나눔가게, 집수리, 방문요양 등",혼합형,기타,김종원,02-2614-2704,02-2614-2706,경기도 광명시 광명6동 352-37,"http://www.e-love.or.kr
http://www.생태학습장.com ",10/29/07,2007년 1차
경기,제2007-020호,함께일하는세상㈜,"공공기관 위생관리용역, 외벽청소 등 특수청소, 시설경비 및 근로자파견업, 청소교육 및 사회적기업컨설팅, 취업지원사업",기타형,청소,이철종,"031-244-5130
031-248-6588",031-244-7130,"경기도 수원시 팔달구 덕영대로 905, 405호, 406호(매산로1가, 아이메카빌딩)",www.wtco.kr,10/29/07,2007년 1차
인천,제2007-022호,사회복지법인 손과손 핸인핸 부평지점,"칫솔제조, 판매 등",일자리제공형,기타,장영순,032-521-7471,032-521-7472,"인천광역시 부평구 동수로 87 (부평동, E동)",http://www.핸인핸.com,10/29/07,2007년 1차
서울,제2007-024호,사회복지법인동천학원동천,"모자, 의류, 자수 및 프린터 재생카트리지 생산",일자리제공형,기타,이정훈,02-974-2950,02-974-2951,서울특별시 노원구 하계동 288-1,http://www.dongchuncap.com,10/29/07,2007년 1차
경기,제2007-025호,(주)노리단,"생태주의 뮤직퍼포먼스, 공연, 워크샵",기타형,문화예술,유효봉,02-2677-0054,02-2679-9300,"경기도 부천시 원미구 길주로 1(상동, 영상문화단지내사무동 2층)",http://www.noridan.org,10/29/07,2007년 1차
경기,제2007-026호,(사)늘푸름늘 푸른직업재활원,"행정봉투, 장갑 생산",일자리제공형,기타,윤정숙,031-912-4988,031-963-4872,경기도 고양시 덕양구 관산동 591번지,http://ever-green.or.kr,10/29/07,2007년 1차
서울,제2007-027호,사회복지법인온누리복지재단(번동코이노니아장애인보호작업시설),"의류(조끼, 환자복 등), 카드/명함/달력 등 생산",일자리제공형,기타,김정진,02-985-3609,02-982-5037,서울특별시 강북구 번2동 230 주공아파트 501동 2층,http://www.yeson.or.kr,10/29/07,2007년 1차
경기,제2007-028호,㈜에코그린,폐기물 재활용,기타형,환경,이형출,031-571-9380,031-572-0214,경기도 남양주시 진접읍 금곡리 425-2,http://www.seeg.co.kr,10/29/07,2007년 1차
서울,제2007-030호,(사)지구촌사랑나눔부설(외국인노동자전용의원),외국인노동자 진료,사회서비스제공형,보건,김해성,02-863-9966,02-863-3030,"서울특별시 구로구 남부순환로 1307 (가리봉동, 2층, 3층)",http://www.mwhospital.com,10/29/07,2007년 1차
경북,제2007-032호,사회복지법인 안동애명복지촌 참사랑보호작업장,"이동스팀세차, 재활용, 벽돌제조",일자리제공형,청소,박진식,054-858-8627,054-858-1979,경상북도  안동시 북후면 도촌리 846-3,http://www.goodcitizen.co.kr,10/29/07,2007년 1차
경기,제2007-033호,㈜컴윈,전기전자폐기물 재활용사업,일자리제공형,환경,정연철,031-351-4576,031-351-5157,경기도 화성시 장안면 석포리 677-10,http://www.comwin.co.kr,10/29/07,2007년 1차
경남,제2007-035호,㈜늘푸른자원,"폐OA수거,분해,판매",기타형,환경,김진수,055-298-1428,055-298-1433,경상남도 창원시 의창구 북면 백월로 74번길 9,,10/29/07,2007년 1차
서울,제2007-037호,(사)장애우권익문제연구소 리드릭,"디자인, 출판, 복사용지, 직업재활, 보호고용훈련 ",일자리제공형,기타,김정열,02-3667-4945,02-3667-4942,서울특별시 영등포구 당산동2가 47-4,http://www.ridplus.com/,1/7/08,2007년 2차
서울,제2007-038호,사회적협동조합 자바르떼 ,문화예술교육,기타형,교육,이동근,02-334-8209,02-336-8209,"서울특별시 은평구 통일로 684, 1-1(녹번동)",http://arteplay.net,1/7/08,2007년 2차
강원,제2007-039호,㈜바리의꿈,"연해주고려인동포지원, 청국장판매",기타형,기타,김현동,"033-535-7850
02-3273-4283",033-521-4288 ,강원도 동해시 지양길 200 한중대학교 창업보육센터 1층,www.baridream.co.kr,1/7/08,2007년 2차
서울,제2007-040호,㈜우리가만드는미래,"역사, 문화교실",혼합형,교육,이현주,02-761-2588,02-761-2578,"서울특별시 마포구 성미산로 160 (연남동, 5층)",http://www.woorimirae.com,1/7/08,2007년 2차
서울,제2007-041호,㈜그린주의,"프린터 리본/재생카트리지 생산, 비비크림, 미용비누, 손세정제, 핸드크림 등 생산",일자리제공형,기타,"김현미, 이명식","1544-0725
010-8033-8033",02-2207-4143,"서울특별시 노원구 공릉로 232, 9층 907호(공릉동, 서울테크노파크)",www.greenjui.com,1/7/08,2007년 2차
서울,제2007-042호,(주)나눔공동체,"도시락, 단체급식, 출장뷔페",혼합형,사회복지,최영남,02-826-0282,02-821-0282,서울특별시 관악구 봉천동 468-2 하우젠빌딩 2층 205호,http://www.nanumfood.co.kr,1/7/08,2007년 2차
서울,제2007-043호,㈜푸른환경코리아,"건물종합관리, 경비 청소 용역",일자리제공형,청소,"정희석
공은미",02-868-8381,02-869-2795,서울특별시 관악구 난곡로 93 2층,http://www.purenkorea.com,1/7/08,2007년 2차
강원,제2007-044호,유한회사늘푸른환경,"깨끗한 학교만들기, 청소",일자리제공형,청소,방용석,033-522-6990,033-535-6990,강원도 동해시 효자로 642(동회동),,1/7/08,2007년 2차
부산,제2007-046호,함께하는의료소비자생활협동조합(우리요양병원),"노인, 치매환자 요양",사회서비스제공형,간병가사지원,최옥동,051-868-6114,051-868-7935,"부산광역시 연제구 월드컵대로 54, 3-5층(연산동, 수정빌딩)",http://www.7575.or.kr,1/7/08,2007년 2차
인천,제2007-047호,주식회사 다사랑 행복도시락,도시락,혼합형,사회복지,노태간,032-864-4661,032-864-4663,인천광역시 남구 학익1동 332-2,http://www.silbon.or.kr,1/7/08,2007년 2차
서울,제2007-048호,㈜조이비전,"미용 창업스쿨, 재가노인 이미용 케어",기타형,보건,박남식,02-6263-1416,02-6263-1417,서울특별시 강남구 삼성로 725(청담동),http://joyvision.kr,1/7/08,2007년 2차
